City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Phan Thiet,VN,77.72,light rain,10.93,108.1,Hotel Saigon-PT
394,Price,US,89.6,clear sky,39.6,-110.81,National 9 - Price River Inn
395,Santa Rosa,PH,78.01,overcast clouds,14.31,121.11,Amethyst Econotel
397,Chapais,CA,78.8,overcast clouds,49.78,-74.85,Hôtel Opémiska
399,Tripoli,LY,83.66,clear sky,32.88,13.19,Al Waddan Hotel
404,Kota Belud,MY,77.0,few clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
405,Figeac,FR,78.01,scattered clouds,44.75,1.92,Le Lac Bleu
406,Banda Aceh,ID,80.06,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
411,Puerto Penasco,MX,88.0,clear sky,31.32,-113.53,Playa Bonita Resort
413,Gallup,US,84.99,clear sky,35.53,-108.74,El Capitan Motel
414,Hamilton,US,84.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
415,Matagami,CA,75.2,few clouds,49.75,-77.63,Hôtel Matagami
418,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
419,Cacimba De Dentro,BR,78.93,scattered clouds,-6.64,-35.79,Casa de Farinha
420,Jackson,US,80.01,clear sky,42.42,-122.83,Agate Village Apartments
423,Oussouye,SN,86.0,broken clouds,12.48,-16.55,Auberge du Routard
424,Porto Santo,PT,75.2,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
429,Cayenne,GF,86.0,light rain,4.93,-52.33,Hôtel Le Dronmi
433,Winneba,GH,77.0,few clouds,5.35,-0.62,Windy Lodge Beach Resort
434,Koroni,GR,89.01,clear sky,36.8,21.95,Apartments Xenios Zeus 1
435,Clermont,FR,77.0,broken clouds,49.5,2.42,"gîte"" Le Manoir Enchanté"" de Mme Doumayrou"
436,Paris,FR,82.0,broken clouds,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
442,Sendhwa,IN,80.69,broken clouds,21.68,75.1,Hotel Shagun Garden
444,Erzin,TR,84.0,few clouds,36.96,36.2,Artemis Otel
445,Zhob,PK,86.16,broken clouds,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
448,Simplicio Mendes,BR,83.12,overcast clouds,-7.85,-41.91,Fidalgo
461,Ixtapa,MX,87.01,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
462,Sokoto,NG,86.45,clear sky,13.06,5.24,RG Palace
465,Labuhan,ID,76.44,scattered clouds,-6.88,112.21,bador sepret
